"day_utc","views","unique_visitors","last_seen_snapshot_utc"
"2026-07-11","27","11","2026-07-25T17:17:58Z"
"2026-07-12","13","6","2026-07-25T17:17:58Z"
"2026-07-13","4","3","2026-07-25T17:17:58Z"
"2026-07-14","7","4","2026-07-25T17:17:58Z"
"2026-07-15","10","8","2026-07-25T17:17:58Z"
"2026-07-16","9","4","2026-07-25T17:17:58Z"
"2026-07-17","9","3","2026-07-25T17:17:58Z"
"2026-07-18","2","2","2026-07-25T17:17:58Z"
"2026-07-19","14","4","2026-07-25T17:17:58Z"
"2026-07-20","12","5","2026-07-25T17:17:58Z"
"2026-07-21","8","5","2026-07-25T17:17:58Z"
"2026-07-22","11","4","2026-07-25T17:17:58Z"
"2026-07-23","8","3","2026-07-25T17:17:58Z"
"2026-07-24","6","5","2026-07-25T17:17:58Z"
