"day_utc","views","unique_visitors","last_seen_snapshot_utc"
"2026-07-16","9","4","2026-07-30T17:51:38Z"
"2026-07-17","9","3","2026-07-30T17:51:38Z"
"2026-07-18","2","2","2026-07-30T17:51:38Z"
"2026-07-19","14","4","2026-07-30T17:51:38Z"
"2026-07-20","12","5","2026-07-30T17:51:38Z"
"2026-07-21","8","5","2026-07-30T17:51:38Z"
"2026-07-22","11","4","2026-07-30T17:51:38Z"
"2026-07-23","8","3","2026-07-30T17:51:38Z"
"2026-07-24","6","5","2026-07-30T17:51:38Z"
"2026-07-25","2","1","2026-07-30T17:51:38Z"
"2026-07-26","0","0","2026-07-30T17:51:38Z"
"2026-07-27","6","4","2026-07-30T17:51:38Z"
"2026-07-28","6","5","2026-07-30T17:51:38Z"
"2026-07-29","7","4","2026-07-30T17:51:38Z"
