"day_utc","views","unique_visitors","last_seen_snapshot_utc"
"2026-08-20","3","2","2026-09-03T19:18:39Z"
"2026-08-21","18","7","2026-09-03T19:18:39Z"
"2026-08-22","4","3","2026-09-03T19:18:39Z"
"2026-08-23","0","0","2026-09-03T19:18:39Z"
"2026-08-24","5","5","2026-09-03T19:18:39Z"
"2026-08-25","9","6","2026-09-03T19:18:39Z"
"2026-08-26","2","2","2026-09-03T19:18:39Z"
"2026-08-27","7","4","2026-09-03T19:18:39Z"
"2026-08-28","4","4","2026-09-03T19:18:39Z"
"2026-08-29","3","1","2026-09-03T19:18:39Z"
"2026-08-30","20","5","2026-09-03T19:18:39Z"
"2026-08-31","15","8","2026-09-03T19:18:39Z"
"2026-09-01","0","0","2026-09-03T19:18:39Z"
"2026-09-02","6","5","2026-09-03T19:18:39Z"
