"day_utc","views","unique_visitors","last_seen_snapshot_utc"
"2026-08-10","15","7","2026-08-24T16:57:15Z"
"2026-08-11","89","32","2026-08-24T16:57:15Z"
"2026-08-12","61","20","2026-08-24T16:57:15Z"
"2026-08-13","15","8","2026-08-24T16:57:15Z"
"2026-08-14","25","8","2026-08-24T16:57:15Z"
"2026-08-15","23","9","2026-08-24T16:57:15Z"
"2026-08-16","10","3","2026-08-24T16:57:15Z"
"2026-08-17","33","10","2026-08-24T16:57:15Z"
"2026-08-18","12","8","2026-08-24T16:57:15Z"
"2026-08-19","11","7","2026-08-24T16:57:15Z"
"2026-08-20","3","2","2026-08-24T16:57:15Z"
"2026-08-21","18","7","2026-08-24T16:57:15Z"
"2026-08-22","4","3","2026-08-24T16:57:15Z"
"2026-08-23","0","0","2026-08-24T16:57:15Z"
